pagerank_ranking,pagerank_score,betweenness_score
6,3.0,1231.8
2,7.9,1083.0
40,0.4,1033.4
56,0.3,1008.5
37,0.5,709.4
11,2.3,640.8
23,0.9,604.4
50,0.3,552.1
22,0.9,543.3
5,3.5,539.3
65,0.2,529.3
4,3.8,519.8
14,2.1,498.3
16,1.5,495.4
71,0.2,495.2
32,0.6,438.9
36,0.5,435.7
51,0.3,417.8
55,0.3,397.1
43,0.4,337.5
27,0.7,335.4
8,2.8,301.5
3,4.7,254.7
28,0.7,253.1
70,0.2,245.1
33,0.6,232.6
7,2.9,230.0
15,2.0,228.6
60,0.2,222.5
41,0.4,216.0
53,0.3,214.9
29,0.7,202.7
61,0.2,197.4
25,0.8,189.4
12,2.2,183.3
1,8.5,167.2
31,0.6,159.1
62,0.2,154.0
72,0.2,137.1
19,1.3,134.7
13,2.1,128.1
49,0.3,119.3
46,0.4,116.0
18,1.3,109.7
20,1.2,99.2
9,2.5,95.9
57,0.3,95.2
24,0.8,86.8
48,0.3,81.0
47,0.4,79.2
45,0.4,77.4
69,0.2,69.7
58,0.2,64.4
35,0.6,64.0
79,0.2,56.9
52,0.3,54.2
66,0.2,50.4
38,0.5,45.3
80,0.2,44.1
42,0.4,43.6
68,0.2,37.0
63,0.2,35.2
67,0.2,30.1
81,0.2,26.9
75,0.2,22.6
82,0.2,19.8
84,0.2,16.1
77,0.2,14.8
59,0.2,14.5
64,0.2,12.1
44,0.4,12.1
73,0.2,7.9
34,0.6,5.7
39,0.5,3.1
78,0.2,2.1
76,0.2,1.0
85,0.2,0.0
83,0.2,0.0
10,2.4,0.0
86,0.2,0.0
17,1.4,0.0
87,0.2,0.0
88,0.2,0.0
26,0.7,0.0
89,0.2,0.0
90,0.2,0.0
54,0.3,0.0
91,0.2,0.0
74,0.2,0.0
21,0.9,0.0
92,0.2,0.0
30,0.7,0.0
93,0.2,0.0
94,0.2,0.0
95,0.2,0.0
96,0.2,0.0
97,0.2,0.0
98,0.2,0.0
99,0.2,0.0
100,0.2,0.0
